iter	Passed	Remaining
468	701	794
469	702	791
470	703	789
471	704	787
472	705	785
473	706	783
474	707	781
475	708	780
476	709	778
477	710	776
478	711	774
479	712	772
480	713	770
481	714	768
482	715	766
483	716	764
484	717	762
485	718	760
486	719	758
487	720	756
488	721	754
489	723	752
490	724	750
491	725	748
492	726	746
493	727	744
494	728	742
495	729	741
496	730	739
497	731	737
498	732	735
499	733	733
500	734	731
501	735	729
502	736	727
503	737	725
504	738	723
505	739	722
506	740	720
507	741	718
508	742	716
509	743	714
510	744	712
511	745	710
512	746	708
513	747	707
514	748	705
515	749	703
516	750	701
517	751	699
518	753	697
519	754	696
520	755	694
521	756	692
522	757	690
523	758	688
524	759	686
525	760	685
526	761	683
527	762	681
528	763	679
529	764	677
530	765	675
531	766	674
532	767	672
533	768	670
534	769	668
535	770	667
536	771	665
537	772	663
538	773	661
539	774	659
540	775	658
541	776	656
542	777	654
543	778	652
544	779	651
545	780	649
546	781	647
547	783	645
548	784	644
549	785	642
550	786	640
551	787	639
552	788	637
553	789	635
554	790	633
555	791	632
556	792	630
557	793	628
558	794	626
559	795	625
560	796	623
561	797	621
562	798	620
563	799	618
564	800	616
565	801	614
566	802	613
567	804	611
568	805	609
569	806	608
570	807	606
571	808	604
572	809	603
573	810	601
574	811	599
575	812	597
576	813	596
577	814	594
578	815	592
579	816	591
580	817	589
581	818	587
582	819	586
583	820	584
584	821	582
585	822	581
586	823	579
587	824	577
588	825	576
589	826	574
590	827	572
591	828	571
592	829	569
593	830	567
594	831	566
595	832	564
596	833	562
597	834	561
598	836	559
599	837	558
600	838	556
601	839	554
602	840	553
603	841	551
604	842	549
605	843	548
606	844	546
607	845	545
608	846	543
609	847	541
610	848	540
611	849	538
612	850	536
613	851	535
614	852	533
615	853	532
616	854	530
617	855	528
618	856	527
619	857	525
620	858	524
621	863	524
622	866	524
623	867	522
624	868	521
625	870	519
626	870	518
627	871	516
628	872	514
629	874	513
630	875	511
631	876	510
632	877	508
633	878	507
634	879	505
635	880	503
636	881	502
637	882	500
638	883	499
639	884	497
640	885	495
641	886	494
642	887	492
643	888	491
644	889	489
645	890	488
646	891	486
647	892	484
648	893	483
649	894	481
650	895	480
651	896	478
652	897	477
653	898	475
654	899	473
655	900	472
656	901	470
657	902	469
658	904	467
659	905	466
660	906	464
661	907	463
662	908	461
663	909	460
664	910	458
665	911	457
666	912	455
667	913	454
668	914	452
669	915	451
670	916	449
671	918	448
672	919	446
673	920	445
674	921	443
675	922	442
676	923	440
677	924	439
678	925	437
679	926	435
680	927	434
681	928	432
682	929	431
683	930	429
684	931	428
685	932	426
686	933	425
687	934	423
688	935	422
689	937	421
690	938	419
691	939	418
692	940	416
693	941	415
694	942	413
695	943	412
696	944	410
697	945	409
698	946	407
699	948	406
700	949	404
701	950	403
702	951	401
703	952	400
704	953	398
705	954	397
706	955	395
707	956	394
708	957	392
709	958	391
710	959	390
711	960	388
712	961	387
713	963	385
714	964	384
715	965	382
716	966	381
717	967	379
718	968	378
719	969	377
720	970	375
721	971	374
722	972	372
723	973	371
724	974	369
725	975	368
726	976	366
727	978	365
728	979	364
729	980	362
730	981	361
731	982	359
732	983	358
733	984	356
734	985	355
735	986	353
736	987	352
737	988	350
738	989	349
739	990	348
740	991	346
741	992	345
742	994	343
743	995	342
744	996	340
745	997	339
746	998	338
747	999	336
748	1001	335
749	1002	334
750	1003	332
751	1004	331
752	1005	329
753	1006	328
754	1007	327
755	1008	325
756	1010	324
757	1011	322
758	1012	321
759	1013	319
760	1014	318
761	1015	317
762	1016	315
763	1017	314
764	1018	312
765	1019	311
766	1020	310
767	1021	308
768	1022	307
769	1023	305
770	1024	304
771	1026	303
772	1027	301
773	1028	300
774	1029	298
775	1030	297
776	1031	295
777	1032	294
778	1033	293
779	1034	291
780	1035	290
781	1036	288
782	1037	287
783	1039	286
784	1040	284
785	1041	283
786	1042	282
787	1043	280
788	1044	279
789	1045	278
790	1047	276
791	1048	275
792	1049	273
793	1050	272
794	1051	271
795	1052	269
796	1053	268
797	1054	266
798	1055	265
799	1056	264
800	1057	262
801	1059	261
802	1060	260
803	1061	258
804	1062	257
805	1063	255
806	1064	254
807	1065	253
808	1066	251
809	1067	250
810	1068	249
811	1069	247
812	1071	246
813	1072	244
814	1073	243
815	1074	242
816	1075	240
817	1076	239
818	1077	238
819	1078	236
820	1079	235
821	1080	233
822	1081	232
823	1082	231
824	1083	229
825	1084	228
826	1085	227
827	1086	225
828	1087	224
829	1088	222
830	1089	221
831	1090	220
832	1091	218
833	1092	217
834	1093	216
835	1094	214
836	1095	213
837	1096	212
838	1097	210
839	1098	209
840	1099	207
841	1100	206
842	1102	205
843	1103	203
844	1104	202
845	1105	201
846	1106	199
847	1107	198
848	1108	197
849	1109	195
850	1110	194
851	1111	193
852	1112	191
853	1113	190
854	1114	188
855	1115	187
856	1116	186
857	1117	184
858	1118	183
859	1119	182
860	1120	180
861	1121	179
862	1122	178
863	1123	176
864	1124	175
865	1125	174
866	1126	172
867	1127	171
868	1128	170
869	1129	168
870	1131	167
871	1132	166
872	1133	164
873	1134	163
874	1135	162
875	1136	160
876	1137	159
877	1138	158
878	1139	156
879	1140	155
880	1141	154
881	1142	152
882	1143	151
883	1144	150
884	1145	148
885	1146	147
886	1147	146
887	1149	144
888	1150	143
889	1151	142
890	1152	140
891	1153	139
892	1154	138
893	1155	136
894	1156	135
895	1157	134
896	1158	133
897	1159	131
898	1160	130
899	1161	129
900	1162	127
901	1163	126
902	1164	125
903	1165	123
904	1166	122
905	1167	121
906	1168	119
907	1169	118
908	1170	117
909	1171	115
910	1172	114
911	1174	113
912	1175	111
913	1176	110
914	1177	109
915	1178	108
916	1179	106
917	1180	105
918	1181	104
919	1182	102
920	1183	101
921	1184	100
922	1185	98
923	1186	97
924	1187	96
925	1188	94
926	1189	93
927	1190	92
928	1191	91
929	1192	89
930	1193	88
931	1194	87
932	1195	85
933	1196	84
934	1197	83
935	1198	81
936	1199	80
937	1200	79
938	1201	78
939	1202	76
940	1203	75
941	1204	74
942	1206	72
943	1207	71
944	1208	70
945	1209	69
946	1210	67
947	1211	66
948	1212	65
949	1213	63
950	1214	62
951	1215	61
952	1216	59
953	1217	58
954	1218	57
955	1219	56
956	1220	54
957	1221	53
958	1222	52
959	1223	50
960	1224	49
961	1225	48
962	1226	47
963	1227	45
964	1228	44
965	1229	43
966	1230	41
967	1231	40
968	1232	39
969	1233	38
970	1234	36
971	1235	35
972	1236	34
973	1237	33
974	1238	31
975	1239	30
976	1240	29
977	1242	27
978	1243	26
979	1244	25
980	1245	24
981	1246	22
982	1247	21
983	1248	20
984	1249	19
985	1250	17
986	1251	16
987	1252	15
988	1253	13
989	1254	12
990	1255	11
991	1256	10
992	1257	8
993	1258	7
994	1259	6
995	1260	5
996	1261	3
997	1262	2
998	1263	1
999	1264	0
